Country Name,Country Code,gdp,exp,pop
Aruba,ABW,31096.205073867608,76.019,109203
Africa Eastern and Southern,AFE,1493.7804449003668,63.857261283704254,675950189
Afghanistan,AFG,496.6025042584997,62.941,37856121
Africa Western and Central,AFW,1783.654364911908,57.149846755511845,463365429
Angola,AGO,2189.8557140761836,63.051,32375632
Albania,ALB,5460.428237305918,79.467,2854191
Andorra,AND,41257.80458464828,84.098,76474
Arab World,ARB,6525.211843123843,71.83989326749717,444281315
United Arab Emirates,ARE,44251.45413901483,82.596,9445785
Argentina,ARG,9955.974786804276,76.847,44973465
Armenia,ARM,4597.228873995479,76.2219512195122,2962500
American Samoa,ASM,12886.135951721802,72.751,50209
Antigua and Barbuda,ATG,18884.372968038304,77.168,91364
Australia,AUS,54972.70178854372,82.9,25334826
Austria,AUT,49885.99473552041,81.89512195121951,8879920
Azerbaijan,AZE,4805.753717659173,73.29,10024283
Burundi,BDI,210.23649452153177,62.18,12255336
Belgium,BEL,46716.622746796435,81.99512195121952,11488980
Benin,BEN,1130.8213530497737,59.888,12726755
Burkina Faso,BFA,764.8530777749462,60.184,20961952
Bangladesh,BGD,2129.7989695460574,72.625,164913055
Bulgaria,BGR,9838.600589853835,75.11219512195122,6975761
Bahrain,BHR,27259.743859932696,80.471,1483756
"Bahamas, The",BHS,32979.540127953376,71.408,394675
Bosnia and Herzegovina,BIH,6122.375345088199,77.394,3345533
Belarus,BLR,6837.768321367789,74.2268292682927,9419758
Belize,BLZ,6190.047922784446,72.577,385829
Bermuda,BMU,115798.04077557832,81.251,64107
Bolivia,BOL,3503.8960106181985,67.82,11671386
Brazil,BRA,9029.833267421753,75.809,207455459
Barbados,BRB,20583.726578641355,76.495,281207
Brunei Darussalam,BRN,30426.573028420233,75.049,442680
Bhutan,BTN,3576.8798707787746,72.005,764824
Botswana,BWA,7172.089564800282,67.167,2332083
Central African Republic,CAF,449.2284676024388,31.53,4944703
Canada,CAN,46352.869344521125,82.16365853658537,37618495
Central Europe and the Baltics,CEB,16475.16147758397,77.25781092986173,102282674
Switzerland,CHE,84121.93103044144,83.90487804878049,8575280
Channel Islands,CHI,60568.10852727211,81.2,165639
Chile,CHL,14495.716721686993,80.324,19197744
China,CHN,10143.860220616465,77.94,1407745000
Cote d'Ivoire,CIV,2141.7683617011467,60.274,28193009
Cameroon,CMR,1555.2266047647743,61.695,25506095
"Congo, Dem. Rep.",COD,557.0441613359174,60.242,92947442
"Congo, Rep.",COG,2488.424667249158,63.152,5616661
Colombia,COL,6472.545449247049,76.793,49907985
Comoros,COM,1519.2638643606817,65.662,786578
Cabo Verde,CPV,4380.781191640302,75.449,514104
Costa Rica,CRI,12884.685995198872,80.296,4999553
Caribbean small states,CSS,12356.321643935107,71.81619278151203,3079149
Cuba,CUB,9232.261159351829,77.413,11202846
Curacao,CUW,19220.686695830263,76.492,157441
Cayman Islands,CYM,88254.29036770435,79.052,67327
Cyprus,CYP,29703.052734375,81.454,1286671
Czechia,CZE,24062.719001334306,79.22926829268295,10671870
Germany,DEU,47623.865607482854,81.29268292682927,83092962
Djibouti,DJI,2837.171033369172,64.381,1088709
Dominica,DMA,9009.090115454288,71.305,67880
Denmark,DNK,59404.266324772296,81.45121951219514,5814422
Dominican Republic,DOM,8164.220809321173,73.112,10894043
Algeria,DZA,4468.453418836562,75.682,43294546
East Asia & Pacific (excluding high income),EAP,8153.621405871019,75.76896903215089,2112289891
Early-demographic dividend,EAR,3527.5432717652216,70.8424064605001,3355014793
East Asia & Pacific,EAS,11458.795842252031,76.58626192934499,2359771090
Europe & Central Asia (excluding high income),ECA,6020.750795451017,74.8211512399996,248858341
Europe & Central Asia,ECS,24958.385975360696,78.3034868293731,922811778
Ecuador,ECU,6205.057594797608,77.286,17340021
"Egypt, Arab Rep.",EGY,2962.9889202300265,71.213,107553158
Euro area,EMU,39217.38399660295,82.2807366208473,346454019
Eritrea,ERI,NA,67.306,3240194
Spain,ESP,29776.201150038392,83.83170731707318,47134837
Estonia,EST,24021.250141330624,78.64634146341466,1326898
Ethiopia,ETH,828.7089722972499,65.741,115737383
European Union,EUU,35341.5703329216,81.3137699272543,447303223
Fragile and conflict affected situations,FCS,1890.2200696361572,62.165684694514624,974824119
Finland,FIN,48358.180777370086,81.9829268292683,5521606
Fiji,FJI,5950.828686355084,67.009,914899
France,FRA,40408.28485747505,82.8268292682927,67382061
Faroe Islands,FRO,63064.634312736554,82.4439024390244,51795
"Micronesia, Fed. Sts.",FSM,3572.6591828222195,66.196,110282
Gabon,GAB,7441.178647228097,67.337,2267706
United Kingdom,GBR,42662.535374031075,81.36912195121953,66836327
Georgia,GEO,4741.283271587601,74.165,3720161
Ghana,GHA,2186.189241118238,64.455,31258945
Gibraltar,GIB,NA,83.183,35494
Guinea,GIN,1031.341464807319,59.379,13034346
"Gambia, The",GMB,738.1867519874828,64.427,2456844
Guinea-Bissau,GNB,807.3599039654928,62.161,1967696
Equatorial Guinea,GNQ,6804.149230738878,62.297,1670177
Greece,GRC,19335.360200296866,81.63902439024392,10721582
Grenada,GRD,10462.792915953347,74.971,115981
Greenland,GRL,53309.20359050652,71.94439024390245,56225
Guatemala,GTM,4511.997551576558,71.639,17103803
Guam,GUM,39274.943142489865,76.645,161808
Guyana,GUY,6405.824434445621,69.067,807665
High income,HIC,41457.38716528114,80.1995808481366,1383372477
"Hong Kong SAR, China",HKG,48359.00119505975,85.1558536585366,7507900
Honduras,HND,2502.327443280727,72.124,9943633
Heavily indebted poor countries (HIPC),HPC,976.312547557857,63.08980041832777,824649053
Croatia,HRV,15563.816739719914,78.22439024390245,3949390
Haiti,HTI,1352.1720419153248,64.328,11105163
Hungary,HUN,16786.213639907455,76.31951219512194,9771141
IBRD only,IBD,6459.0564973470455,74.03167065251337,4845715724
IDA & IBRD total,IBT,5125.36118877249,71.39447300655048,6594857152
IDA total,IDA,1430.290369661179,64.08853999520444,1749141428
IDA blend,IDB,1865.3560545093499,61.37662513820057,585824310
Indonesia,IDN,4106.948561734209,70.349,272489381
IDA only,IDX,1211.1995897807647,65.45420858659797,1163317118
Isle of Man,IMN,87127.55179774042,80.74,83957
India,IND,2041.4286369858535,70.746,1389030312
Not classified,INX,NA,NA,NA
Ireland,IRL,82508.4659883582,82.70243902439026,4934340
"Iran, Islamic Rep.",IRN,3831.2789476333733,76.855,87051648
Iraq,IRQ,5671.856863294203,71.245,41192171
Iceland,ISL,68452.23622306001,83.16341463414635,360563
Israel,ISR,44140.82893725108,82.8048780487805,9054000
Italy,ITA,33812.788724867976,83.49756097560977,59729081
Jamaica,JAM,5607.243006685015,71.532,2823271
Jordan,JOR,4170.114400346496,76.865,10671891
Japan,JPN,40415.956764954695,84.35634146341464,126633000
Kazakhstan,KAZ,9457.126146571356,73.658,19209555
Kenya,KEN,1960.408088548926,62.939,51202827
Kyrgyz Republic,KGZ,1421.9992750410186,71.6,6590211
Cambodia,KHM,2225.877054856862,70.127,16481304
Kiribati,KIR,1750.9975092048219,65.866,123921
St. Kitts and Nevis,KNA,23595.49232312906,71.54,46952
"Korea, Rep.",KOR,31902.416904819416,83.22682926829269,51764822
Kuwait,KWT,31707.87374649174,81.96975609756099,4442316
Latin America & Caribbean (excluding high income),LAC,8305.989467917183,75.09669291452738,578311232
Lao PDR,LAO,2589.3208103523716,67.911,7237636
Lebanon,LBN,8905.880054974366,78.208,5794594
Liberia,LBR,658.1641807705065,61.232,5043721
Libya,LBY,9963.194890844828,72.941,6951033
St. Lucia,LCA,11794.205652171102,72.249,177661
Latin America & Caribbean,LCN,8830.900456290572,75.20319962456966,640853375
Least developed countries: UN classification,LDC,1097.7635504925356,64.97245344155405,1058013514
Low income,LIC,676.709800653852,63.31306587321201,660718366
Liechtenstein,LIE,166907.83930501563,84.16097560975611,38563
Sri Lanka,LKA,4082.6940487153324,76.698,21803000
Lower middle income,LMC,2152.161879175756,68.56329737457955,2926690682
Low & middle income,LMY,4791.420883347263,71.27450489982081,6364581440
Lesotho,LSO,1082.0570677751584,55.249,2209405
Late-demographic dividend,LTE,9991.404016330858,76.99795386792569,2309008599
Lithuania,LTU,19727.760745373613,76.28292682926829,2794137
Luxembourg,LUX,112726.43967281375,82.63902439024392,620001
Latvia,LVA,17294.975160096918,75.3878048780488,1913822
"Macao SAR, China",MAC,81967.69917276902,83.92926829268293,672000
St. Martin (French part),MAF,19033.06496348889,80.078,34267
Morocco,MAR,3508.09765625,74.245,36210898
Monaco,MCO,193746.78564741169,86.151,38109
Moldova,MDA,4405.334181621547,70.181,2664224
Madagascar,MDG,499.8188376225341,63.504,28219554
Maldives,MDV,11740.272402978468,79.707,487731
Middle East & North Africa,MEA,7590.754517967316,74.1050241514542,474057593
Mexico,MEX,10369.555356876055,74.53,125762982
Marshall Islands,MHL,5292.339855023065,66.047,44007
Middle income,MIC,5267.927627319396,72.19673408316983,5703863074
North Macedonia,MKD,6718.858266354576,76.60243902439025,1876262
Mali,MLI,820.1973908339115,59.217,21068405
Malta,MLT,32412.269781849933,82.65853658536585,504062
Myanmar,MMR,1425.9895421190286,66.457,52640713
Middle East & North Africa (excluding high income),MNA,3594.1087640058877,73.17183786033516,411833977
Montenegro,MNE,8909.653875912598,76.6829268292683,622028
Mongolia,MNG,4347.54610314873,71.05317073170733,3267673
Northern Mariana Islands,MNP,24496.6652122421,77.844,48129
Mozambique,MOZ,519.0925509136196,61.306,29884380
Mauritania,MRT,1767.0727106209977,67.64,4467708
Mauritius,MUS,11403.252787067413,74.23585365853658,1265985
Malawi,MWI,580.8898160667763,64.995,19025752
Malaysia,MYS,10920.191763972032,75.9,33440596
North America,NAC,63634.78610364204,79.13520400490133,366012555
Namibia,NAM,4731.921031883102,63.546,2650494
New Caledonia,NCL,33411.33588356718,77.262,283606
Niger,NER,561.6913043496979,60.031,22947757
Nigeria,NGA,2265.1552086305574,53.009,209485641
Nicaragua,NIC,1958.6213289299562,73.764,6483657
Netherlands,NLD,53554.900749147506,82.11219512195122,17344874
Norway,NOR,76430.58894733385,82.95853658536586,5347896
Nepal,NPL,1203.142947064013,69.299,28414064
Nauru,NRU,10776.828461031571,61.393,11587
New Zealand,NZL,42747.209929996585,82.05609756097562,4979200
OECD members,OED,39764.82161122731,80.24707175141242,1362497757
Oman,OMN,19180.186415280146,79.946,4591241
Other small states,OSS,14425.247014690709,73.4982627040951,13761088
Pakistan,PAK,1390.416909817447,66.729,230800899
Panama,PAN,16477.90662856873,78.514,4234700
Peru,PER,7037.008036926039,76.275,32449303
Philippines,PHL,3400.7894977230153,69.68,110804683
Palau,PLW,15841.193532981233,68.982,17798
Papua New Guinea,PNG,2575.7727425189128,65.331,9609010
Poland,POL,15874.522053125382,77.90487804878049,37965475
Pre-demographic dividend,PRE,1469.63291800162,60.556800895555234,972302503
Puerto Rico,PRI,32916.86680063901,81.438,3193694
"Korea, Dem. People's Rep.",PRK,NA,72.928,26037632
Portugal,PRT,23343.362897003433,81.67560975609757,10286263
Paraguay,PRY,5821.181995486371,73.668,6515058
West Bank and Gaza,PSE,3656.858271370109,75.811,4685306
Pacific island small states,PSS,4170.321180811932,68.64215783039847,2568656
Post-demographic dividend,PST,45916.4122663126,80.97178910722337,1113651656
French Polynesia,PYF,21582.58920468011,83.195,279034
Qatar,QAT,66841.3013472693,82.945,2638657
Romania,ROU,12992.032610467375,75.60731707317073,19371648
Russian Federation,RUS,11447.701171875,73.0839024390244,145453291
Rwanda,RWA,810.051420243718,66.691,12776103
South Asia,SAS,1952.0134008459768,70.30912580297282,1874070006
Saudi Arabia,SAU,27892.8421521179,78.313,30063799
Sudan,SDN,709.975280761719,65.803,45548175
Senegal,SEN,1431.1812893215913,67.668,16352922
Singapore,SGP,66081.71992351646,83.59512195121953,5703569
Solomon Islands,SLB,2223.6650255956515,69.981,728147
Sierra Leone,SLE,843.7125173041702,59.593,7731991
El Salvador,SLV,4320.116715346275,71.725,6222318
San Marino,SMR,46627.01223569437,85.257,34663
Somalia,SOM,539.8939315654676,57.249,16030971
Serbia,SRB,7755.632986436999,75.93658536585367,6945235
Sub-Saharan Africa (excluding high income),SSA,1610.1714204081231,61.12821492173264,1139217993
South Sudan,SSD,NA,58.129,10423384
Sub-Saharan Africa,SSF,1611.6736354965306,61.12932184248726,1139315618
Small states,SST,12739.838874247844,72.58873082917046,19408893
Sao Tome and Principe,STP,1935.2931816595997,68.043,213392
Suriname,SUR,6629.667752486033,71.773,605768
Slovak Republic,SVK,19406.058968358197,77.66585365853659,5454147
Slovenia,SVN,25814.168716757213,81.52926829268293,2088385
Sweden,SWE,51773.04645589933,83.10975609756099,10278887
Eswatini,SWZ,3894.3295159281765,59.85,1179874
Sint Maarten (Dutch part),SXM,34861.46952896804,75.68,40385
Seychelles,SYC,19141.5118743615,74.04634146341465,97625
Syrian Arab Republic,SYR,1109.539260360489,70.97,20353534
Turks and Caicos Islands,TCA,27273.43769923574,77.691,43166
Chad,TCD,678.1420357239653,52.993,16685223
East Asia & Pacific (IDA & IBRD countries),TEA,8245.101610712161,75.80428772345341,2086281644
Europe & Central Asia (IDA & IBRD countries),TEC,9027.50709505223,74.59434833883986,462573906
Togo,TGO,826.2606540998936,61.055,8463068
Thailand,THA,7605.696577977591,77.197,71522271
Tajikistan,TJK,871.0223729348457,70.962,9529966
Turkmenistan,TKM,6648.034896062804,69.405,6803944
Latin America & the Caribbean (IDA & IBRD countries),TLA,8654.862094658181,75.13197114934418,625467307
Timor-Leste,TLS,1562.3645888181284,66.496,1300945
Middle East & North Africa (IDA & IBRD countries),TMN,3593.3866674738547,73.1414674254334,407148671
Tonga,TON,4676.847903482357,72.292,105669
South Asia (IDA & IBRD),TSA,1952.0134008459765,70.30912580297282,1874070006
Sub-Saharan Africa (IDA & IBRD countries),TSS,1611.67363549653,61.12932184248725,1139315618
Trinidad and Tobago,TTO,17431.02692666962,72.836,1363985
Tunisia,TUN,3528.8721330679796,75.599,11875081
Turkiye,TUR,9215.440498881144,77.737,82579440
Tuvalu,TUV,5115.130759502061,66.109,10581
Tanzania,TZA,1063.32250976563,66.007,59174891
Uganda,UGA,822.0570581891529,66.354,42999637
Ukraine,UKR,3619.86157226563,73.92,44957458
Upper middle income,UMC,8551.4409621973009,76.02578891221121,2777172392
Uruguay,URY,18315.73528571944,77.503,3397206
United States,USA,65604.6815198734,78.78780487804877,328329953
Uzbekistan,UZB,2041.384807294311,72.093,32964701
St. Vincent and the Grenadines,VCT,8743.332021337532,70.994,104167
"Venezuela, RB",VEN,NA,72.766,28938098
British Virgin Islands,VGB,NA,76.845,36395
Virgin Islands (U.S.),VIR,38633.529891533624,79.66829268292683,106669
Viet Nam,VNM,3440.9002537543365,74.211,97173776
Vanuatu,VUT,3207.4465045208253,70.783,291985
World,WLD,11334.8430932207,72.86766903653674,7776892015
Samoa,WSM,4351.942349437056,70.269,209780
Kosovo,XKX,4415.997161075136,77.249,1788891
"Yemen, Rep.",YEM,623.376164898164,66.567,35111408
South Africa,ZAF,6533.711210328561,66.071,59587885
Zambia,ZMB,1258.9861984446204,62.914,18513839
Zimbabwe,ZWE,1684.027903881821,61.06,15271368
